Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform
SHEIK,1,YOSHIS_STORY,37,4,3,0.006012024048096177,right_platform
FOX,1,DREAM_LAND_N64,6,1,6,0.21544148089953843,left_platform
SHEIK,0,DREAM_LAND_N64,21,2,4,0.31399999999999995,left_platform
FOX,0,FOUNTAIN_OF_DREAMS,19,4,1,0.17567339387496914,left_platform
SHEIK,1,FOUNTAIN_OF_DREAMS,40,4,3,0.0,left_ledge
FOX,0,FOUNTAIN_OF_DREAMS,56,4,4,0.19111517563351166,right_platform
SHEIK,1,FOUNTAIN_OF_DREAMS,27,2,1,0.0,right_platform
FOX,0,FINAL_DESTINATION,11,1,2,0.2335059002289052,left_ledge
SHEIK,1,FINAL_DESTINATION,43,0,4,0.06504065040650407,right_ledge
FOX,1,YOSHIS_STORY,45,6,5,0.22346901432259783,right_platform
SHEIK,0,YOSHIS_STORY,15,0,3,0.3256226739192672,right_platform
FOX,0,BATTLEFIELD,51,6,4,0.19328553978594695,left_platform
SHEIK,1,BATTLEFIELD,37,1,6,0.3139285714285714,left_platform
FOX,1,BATTLEFIELD,9,0,1,0.19580287607596666,right_platform
SHEIK,0,BATTLEFIELD,23,4,3,0.6352232142857143,left_platform
FOX,0,YOSHIS_STORY,0,0,0,0.2170355612423422,left_platform
SHEIK,1,YOSHIS_STORY,5,1,0,0.006012024048096177,right_platform
FOX,0,FINAL_DESTINATION,21,1,6,0.23443403742027824,left_ledge
SHEIK,1,FINAL_DESTINATION,34,4,4,0.2032520325203252,right_ledge
FOX,0,FOUNTAIN_OF_DREAMS,14,3,6,0.19601505270448258,left_platform
SHEIK,1,FOUNTAIN_OF_DREAMS,30,6,3,0.0,left_platform
FOX,1,FOUNTAIN_OF_DREAMS,9,2,5,0.2078877495214657,right_ledge
SHEIK,0,FOUNTAIN_OF_DREAMS,17,3,4,0.27617610062893083,top_platform
FOX,1,YOSHIS_STORY,17,4,6,0.21635324418413904,left_platform
SHEIK,0,YOSHIS_STORY,31,5,4,0.006012024048096177,left_platform
FOX,1,YOSHIS_STORY,1,1,0,0.23146497548048922,left_platform
MARTH,0,YOSHIS_STORY,1,0,0,0.33764672201545953,right_platform
FOX,0,YOSHIS_STORY,16,3,3,0.18825804513519476,top_platform
MARTH,1,YOSHIS_STORY,14,5,3,0.006012024048096177,top_platform
FOX,0,FOUNTAIN_OF_DREAMS,30,3,4,0.18992719608902406,top_platform
MARTH,1,FOUNTAIN_OF_DREAMS,33,6,2,0.3284025157232704,right_ledge
SHEIK,0,FOUNTAIN_OF_DREAMS,16,2,6,0.18630541773070394,top_platform
MARTH,1,FOUNTAIN_OF_DREAMS,43,6,3,0.0,left_platform
FOX,0,FOUNTAIN_OF_DREAMS,34,0,4,0.20336690749795563,left_platform
FOX,1,FOUNTAIN_OF_DREAMS,37,2,4,0.0,left_ledge
FOX,0,FINAL_DESTINATION,22,2,4,0.2504427549282732,right_ledge
FOX,1,FINAL_DESTINATION,19,4,4,0.06504065040650407,right_ledge
FOX,0,BATTLEFIELD,30,3,3,0.12768950264047138,top_platform
SHEIK,1,BATTLEFIELD,79,8,1,0.06566964285714286,right_platform
FOX,1,DREAM_LAND_N64,48,5,4,0.2245378715576965,left_platform
SHEIK,0,DREAM_LAND_N64,13,4,2,0.31054901960784315,right_platform
FOX,1,DREAM_LAND_N64,46,7,3,0.22203389140518068,right_platform
SHEIK,0,DREAM_LAND_N64,22,1,3,0.31054901960784315,right_platform
SHEIK,0,YOSHIS_STORY,1,0,1,0.22655040717636934,left_platform
SHEIK,1,YOSHIS_STORY,1,1,0,0.006012024048096177,right_platform
SHEIK,0,BATTLEFIELD,34,6,5,0.19192922080288172,right_platform
SHEIK,1,BATTLEFIELD,28,1,5,0.3178571428571429,left_platform
SHEIK,0,BATTLEFIELD,14,3,1,0.1713213746638705,left_platform
SHEIK,1,BATTLEFIELD,15,1,2,0.05714285714285715,left_platform
FOX,0,FOUNTAIN_OF_DREAMS,55,7,2,0.172892010746485,right_ledge
SHEIK,1,FOUNTAIN_OF_DREAMS,11,2,1,0.3284025157232704,left_platform
FOX,1,DREAM_LAND_N64,20,5,2,0.19617855922226865,right_platform
MARTH,0,DREAM_LAND_N64,29,4,4,0.0,right_platform
FOX,0,DREAM_LAND_N64,41,1,2,0.17269666779098347,top_platform
MARTH,1,DREAM_LAND_N64,61,5,4,0.0,right_platform
FOX,0,BATTLEFIELD,41,3,2,0.18007856991397067,left_platform
MARTH,1,BATTLEFIELD,41,2,4,0.05714285714285715,right_platform
FOX,0,YOSHIS_STORY,28,1,2,0.16501819500508752,right_platform
MARTH,1,YOSHIS_STORY,36,2,4,0.006012024048096177,top_platform
CAPTAIN_FALCON,0,BATTLEFIELD,40,0,1,0.19347172198681734,right_platform
MARTH,1,BATTLEFIELD,34,3,2,0.17857142857142858,left_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,42,0,2,0.1869255716760442,top_platform
MARTH,1,YOSHIS_STORY,39,3,2,0.006012024048096177,top_platform
CAPTAIN_FALCON,1,DREAM_LAND_N64,40,2,3,0.21961499315455332,right_ledge
MARTH,0,DREAM_LAND_N64,18,0,1,0.31262745098039213,right_ledge
CAPTAIN_FALCON,0,FOUNTAIN_OF_DREAMS,51,4,2,0.21497490992913856,left_platform
MARTH,1,FOUNTAIN_OF_DREAMS,35,8,2,0.0,right_ledge
JIGGLYPUFF,1,BATTLEFIELD,40,6,5,0.21083209436534966,right_platform
FOX,0,BATTLEFIELD,38,0,1,0.09736607142857143,right_platform
JIGGLYPUFF,0,DREAM_LAND_N64,26,3,1,0.16057096054796188,left_platform
FOX,1,DREAM_LAND_N64,21,0,1,0.0,right_platform
JIGGLYPUFF,1,FINAL_DESTINATION,33,2,3,0.1873312684644835,left_ledge
FOX,0,FINAL_DESTINATION,19,0,4,0.19504065040650406,left_ledge
JIGGLYPUFF,1,FOUNTAIN_OF_DREAMS,78,2,4,0.1971346292327157,right_platform
FOX,0,FOUNTAIN_OF_DREAMS,49,3,2,0.0,left_platform
SHEIK,1,YOSHIS_STORY,12,1,1,0.23828965230971286,left_platform
MARTH,0,YOSHIS_STORY,3,0,0,0.2464929859719439,right_platform
SHEIK,0,DREAM_LAND_N64,37,1,2,0.21458963178294574,left_platform
MARTH,1,DREAM_LAND_N64,18,2,6,0.31443137254901965,right_ledge
SHEIK,0,YOSHIS_STORY,18,7,2,0.2107791259859621,left_platform
MARTH,1,YOSHIS_STORY,9,4,6,0.006012024048096177,right_platform
CAPTAIN_FALCON,1,BATTLEFIELD,121,0,1,0.11999306217814229,left_platform
FOX,0,BATTLEFIELD,17,2,4,0.19294642857142857,top_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,41,1,2,0.19237329887165497,right_platform
FOX,1,YOSHIS_STORY,42,2,5,0.006012024048096177,right_platform
CAPTAIN_FALCON,1,BATTLEFIELD,54,1,2,0.21215145490046672,right_platform
FOX,0,BATTLEFIELD,46,1,4,0.17857142857142858,right_platform
CAPTAIN_FALCON,1,FINAL_DESTINATION,60,3,2,0.21154157185595612,left_ledge
FOX,0,FINAL_DESTINATION,33,2,4,0.7973170731707316,left_ledge
CAPTAIN_FALCON,0,FINAL_DESTINATION,70,2,2,0.21574904177698953,right_ledge
FOX,1,FINAL_DESTINATION,50,3,4,0.2032520325203252,right_ledge
FALCO,0,BATTLEFIELD,31,2,2,0.18842345194860682,top_platform
CAPTAIN_FALCON,1,BATTLEFIELD,51,5,2,0.05714285714285715,right_platform
FALCO,1,YOSHIS_STORY,24,1,1,0.24141959722676432,left_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,24,0,2,0.2464929859719439,right_platform
FALCO,1,DREAM_LAND_N64,25,1,2,0.20408638326713321,left_platform
CAPTAIN_FALCON,0,DREAM_LAND_N64,22,1,2,0.18274509803921568,left_platform
JIGGLYPUFF,1,BATTLEFIELD,21,0,2,0.17639717308470101,left_platform
FOX,0,BATTLEFIELD,13,3,2,0.04482142857142857,top_platform
FOX,1,BATTLEFIELD,46,2,6,0.15450105828259447,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,28,0,1,0.025267857142857144,right_platform
FOX,0,FINAL_DESTINATION,39,4,4,0.18766139374526541,right_ledge
CAPTAIN_FALCON,1,FINAL_DESTINATION,88,0,2,0.2032520325203252,right_ledge
FOX,0,FINAL_DESTINATION,41,1,4,0.19167565842237727,right_ledge
CAPTAIN_FALCON,1,FINAL_DESTINATION,56,3,1,0.2032520325203252,left_ledge
FOX,0,FINAL_DESTINATION,38,1,4,0.18237332016636362,left_ledge
CAPTAIN_FALCON,1,FINAL_DESTINATION,66,1,2,0.2032520325203252,left_ledge
CAPTAIN_FALCON,1,BATTLEFIELD,50,3,2,0.20704928623938548,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,55,2,2,0.05714285714285715,right_platform
CAPTAIN_FALCON,0,DREAM_LAND_N64,56,5,2,0.2024824071688282,right_platform
CAPTAIN_FALCON,1,DREAM_LAND_N64,63,1,2,0.0,left_platform
CAPTAIN_FALCON,0,DREAM_LAND_N64,73,3,2,0.19232787121875686,right_platform
CAPTAIN_FALCON,1,DREAM_LAND_N64,67,3,2,0.0,right_ledge
JIGGLYPUFF,1,BATTLEFIELD,61,5,4,0.1994972695484649,left_platform
FOX,0,BATTLEFIELD,56,1,2,0.17857142857142858,left_platform
JIGGLYPUFF,0,DREAM_LAND_N64,52,4,4,0.1643343719461026,left_platform
FOX,1,DREAM_LAND_N64,32,0,2,0.18274509803921568,left_platform
FALCO,1,BATTLEFIELD,41,2,4,0.18603985841474835,left_platform
MARTH,0,BATTLEFIELD,26,5,2,0.3151785714285714,left_platform
FALCO,1,FINAL_DESTINATION,27,0,2,0.21970177944729555,left_ledge
MARTH,0,FINAL_DESTINATION,13,1,1,0.8571544715447155,left_ledge
FALCO,0,FINAL_DESTINATION,30,3,2,0.1904925862500752,right_ledge
MARTH,1,FINAL_DESTINATION,34,2,3,0.06504065040650407,left_ledge
FALCO,1,DREAM_LAND_N64,33,2,2,0.21086477685851904,right_platform
MARTH,0,DREAM_LAND_N64,19,4,1,0.0,top_platform
JIGGLYPUFF,0,FOUNTAIN_OF_DREAMS,44,2,7,0.15332972683116633,left_platform
MARTH,1,FOUNTAIN_OF_DREAMS,39,7,4,0.0,right_platform
JIGGLYPUFF,1,DREAM_LAND_N64,30,2,7,0.18200945656953701,left_platform
MARTH,0,DREAM_LAND_N64,34,7,2,0.32145098039215686,top_platform
JIGGLYPUFF,1,FINAL_DESTINATION,57,4,14,0.17040679066181888,left_ledge
MARTH,0,FINAL_DESTINATION,94,2,2,0.16934959349593495,left_ledge
JIGGLYPUFF,0,FINAL_DESTINATION,47,0,5,0.18281322179092618,left_ledge
MARTH,1,FINAL_DESTINATION,79,3,2,0.06504065040650407,right_ledge
JIGGLYPUFF,1,BATTLEFIELD,45,0,5,0.1572366117381075,right_platform
MARTH,0,BATTLEFIELD,76,10,2,0.17950892857142858,left_platform
FALCO,1,BATTLEFIELD,30,4,4,0.2031172049217532,left_platform
